"genus","species","authority","year"
"Buhoma","procterae","LOVERIDGE",1922
"Buhoma","vauerocegae","TORNIER",1902
"Bungarus","andamanensis","BISWAS & SANYAL",1978
"Bungarus","bungaroides","CANTOR",1839
"Bungarus","caeruleus","SCHNEIDER",1801
"Bungarus","candidus","LINNAEUS",1758
"Bungarus","ceylonicus","GUNTHER",1864
"Bungarus","fasciatus","SCHNEIDER",1801
"Bungarus","flaviceps","REINHARDT",1843
"Bungarus","lividus","CANTOR",1839
"Bungarus","magnimaculatus","WALL & EVANS",1901
"Bungarus","multicinctus","BLYTH",1861
"Bungarus","niger","WALL",1908
"Bungarus","persicus","ABTIN NILSON MOBARAKI HOOSEINI & DEHGANNEJHAD",2014
"Bungarus","sindanus","BOULENGER",1897
"Bungarus","slowinskii","KUCH KIZIRIAN NGUYEN LAWSON DONNELLY & MEBS",2005
"Bungarus","walli","WALL",1907
"Bunopus","blanfordii","STRAUCH",1887
"Bunopus","crassicauda","NIKOLSKY",1907
"Bunopus","tuberculatus","BLANFORD",1874
"Caaeteboia","amarali","WETTSTEIN",1930
"Cachryx","alfredschmidti","KOHLER",1995
"Cachryx","defensor","COPE",1866
"Cacophis","churchilli","WELLS & WELLINGTON",1985
"Cacophis","harriettae","KREFFT",1869
"Cacophis","krefftii","GUNTHER",1863
"Cacophis","squamulosus","DUMERIL BIBRON & DUMERIL",1854
"Cadea","blanoides","STEJNEGER",1916
"Cadea","palirostrata","DICKERSON",1916
"Caesoris","novaecaledoniae","PARKER",1926
"Calabaria","reinhardtii","SCHLEGEL",1851
"Calamaria","abramovi","ORLOV",2009
"Calamaria","abstrusa","INGER & MARX",1965
"Calamaria","acutirostris","BOULENGER",1896
"Calamaria","albiventer","GRAY",1834
"Calamaria","alidae","BOULENGER",1920
"Calamaria","andersoni","YANG & ZHENG",2018
"Calamaria","apraeocularis","SMITH",1927
"Calamaria","banggaiensis","KOCH ARIDA MCGUIRE ISKANDAR & BOHME",2009
"Calamaria","battersbyi","INGER & MARX",1965
"Calamaria","bicolor","DUMERIL BIBRON & DUMERIL",1854
"Calamaria","bitorques","PETERS",1872
"Calamaria","boesemani","INGER & MARX",1965
"Calamaria","borneensis","BLEEKER",1860
"Calamaria","brongersmai","INGER & MARX",1965
"Calamaria","buchi","MARX & INGER",1955
"Calamaria","butonensis","HOWARD & GILLESPIE",2007
"Calamaria","ceramensis","DE ROOIJ",1913
"Calamaria","concolor","ORLOV TRUONG TAO ANANJEVA & CUC",2010
"Calamaria","crassa","LIDTH DE JEUDE",1922
"Calamaria","curta","BOULENGER",1896
"Calamaria","doederleini","GOUGH",1902
"Calamaria","dominici","ZIEGLER TRAN & NGUYEN",2019
"Calamaria","eiselti","INGER & MARX",1965
"Calamaria","everetti","BOULENGER",1893
"Calamaria","forcarti","INGER & MARX",1965
"Calamaria","gervaisii","DUMERIL BIBRON & DUMERIL",1854
"Calamaria","gialaiensis","ZIEGLER SANG & TRUONG",2009
"Calamaria","grabowskyi","FISCHER",1885
"Calamaria","gracillima","GUNTHER",1872
"Calamaria","griswoldi","LOVERIDGE",1938
"Calamaria","hilleniusi","INGER & MARX",1965
"Calamaria","ingeri","GRISMER KAISER & YAAKOB",2004
"Calamaria","javanica","BOULENGER",1891
"Calamaria","joloensis","TAYLOR",1922
"Calamaria","lateralis","MOCQUARD",1890
"Calamaria","lautensis","DE ROOIJ",1917
"Calamaria","leucogaster","BLEEKER",1860
"Calamaria","linnaei","BOIE",1827
"Calamaria","longirostris","HOWARD & GILLESPIE",2007
"Calamaria","lovii","BOULENGER",1887
"Calamaria","lumbricoidea","BOIE",1827
"Calamaria","lumholtzi","ANDERSSON",1923
"Calamaria","margaritophora","BLEEKER",1860
"Calamaria","mecheli","SCHENKEL",1901
"Calamaria","melanota","JAN",1862
"Calamaria","modesta","DUMERIL BIBRON & DUMERIL",1854
"Calamaria","muelleri","BOULENGER",1896
"Calamaria","nuchalis","BOULENGER",1896
"Calamaria","palavanensis","INGER & MARX",1965
"Calamaria","pavimentata","DUMERIL BIBRON & DUMERIL",1854
"Calamaria","pfefferi","STEJNEGER",1901
"Calamaria","prakkei","LIDTH DE JEUDE",1893
"Calamaria","rebentischi","BLEEKER",1860
"Calamaria","sangi","TRUONG KOCH & ZIEGLER",2009
"Calamaria","schlegeli","DUMERIL BIBRON & DUMERIL",1854
"Calamaria","schmidti","MARX & INGER",1955
"Calamaria","septentrionalis","BOULENGER",1890
"Calamaria","suluensis","TAYLOR",1922
"Calamaria","sumatrana","EDELING",1870
"Calamaria","thanhi","ZIEGLER & QUYET",2005
"Calamaria","ulmeri","SACKETT",1940
"Calamaria","virgulata","BOIE",1827
"Calamaria","yunnanensis","CHERNOV",1962
"Calamodontophis","paucidens","AMARAL",1936
"Calamodontophis","ronaldoi","FRANCO DE CARVALHO CINTRA & DE LEMA",2006
"Calamophis","jobiensis","MEYER",1874
"Calamophis","katesandersae","MURPHY",2012
"Calamophis","ruuddelangi","MURPHY",2012
"Calamophis","sharonbrooksae","MURPHY",2012
"Calamorhabdium","acuticeps","AHL",1933
"Calamorhabdium","kuekenthali","BOETTGER",1898
"Caledoniscincus","aquilonius","SADLIER BAUER & COLGAN",1999
"Caledoniscincus","atropunctatus","ROUX",1913
"Caledoniscincus","auratus","SADLIER BAUER & COLGAN",1999
"Caledoniscincus","austrocaledonicus","BAVAY",1869
"Caledoniscincus","chazeaui","SADLIER BAUER & COLGAN",1999
"Caledoniscincus","constellatus","SADLIER WHITAKER WOOD & BAUER",2012
"Caledoniscincus","cryptos","SADLIER BAUER & COLGAN",1999
"Caledoniscincus","festivus","ROUX",1913
"Caledoniscincus","haplorhinus","GUNTHER",1872
"Caledoniscincus","notialis","SADLIER SMITH BAUER & WOOD",2013
"Caledoniscincus","orestes","SADLIER",1987
"Caledoniscincus","pelletieri","SADLIER WHITAKER WOOD & BAUER",2014
"Caledoniscincus","renevieri","SADLIER BAUER & COLGAN",1999
"Caledoniscincus","terma","SADLIER BAUER & COLGAN",1999
"Calliophis","beddomei","SMITH",1943
"Calliophis","bibroni","JAN",1858
"Calliophis","bilineata","PETERS",1881
"Calliophis","bivirgatus","BOIE",1827
"Calliophis","castoe","SMITH OGALE DEEPAK & GIRI",2012
"Calliophis","gracilis","GRAY",1834
"Calliophis","haematoetron","SMITH MANAMENDRA-ARACHCHI & SOMAWEERA",2008
"Calliophis","intestinalis","LAURENTI",1768
"Calliophis","maculiceps","GUNTHER",1858
"Calliophis","melanurus","SHAW",1802
"Calliophis","nigrescens","GUNTHER",1862
"Calliophis","philippina","GUNTHER",1864
"Calliophis","salitan","BROWN SMART LEVITON & SMITH",2018
"Calliophis","suluensis","STEINDACHNER",1891
"Callisaurus","draconoides","BLAINVILLE",1835
"Callopistes","flavipunctatus","DUMERIL & BIBRON",1839
"Callopistes","maculatus","GRAVENHORST",1838
"Calloselasma","rhodostoma","KUHL",1824
"Calodactylodes","aureus","BEDDOME",1870
"Calodactylodes","illingworthorum","DERANIYAGALA",1953
"Calotes","bachae","HARTMANN GEISSLER POYARKOV IHLOW GALOYAN RODDER & BOHME",2013
"Calotes","bhutanensis","BISWAS",1975
"Calotes","calotes","LINNAEUS",1758
"Calotes","ceylonensis","MULLER",1887
"Calotes","chincollium","VINDUM",2003
"Calotes","desilvai","BAHIR & MADUWAGE",2005
"Calotes","emma","GRAY",1845
"Calotes","grandisquamis","GUNTHER",1875
"Calotes","htunwini","ZUG & VINDUM",2006
"Calotes","irawadi","ZUG BROWN SCHULTE & VINDUM",2006
"Calotes","jerdoni","GUNTHER",1870
"Calotes","liocephalus","GUNTHER",1872
"Calotes","liolepis","BOULENGER",1885
"Calotes","manamendrai","AMARASINGHE & KARUNARATHNA",2014
"Calotes","maria","GRAY",1845
"Calotes","medogensis","ZHAO & LI",1984
"Calotes","minor","HARDWICKE & GRAY",1827
"Calotes","mystaceus","DUMERIL & BIBRON",1837
"Calotes","nemoricola","JERDON",1853
"Calotes","nigrilabris","PETERS",1860
"Calotes","nigriplicatus","HALLERMANN",2000
"Calotes","paulus","SMITH",1935
"Calotes","pethiyagodai","AMARASINGHE KARUNARATHNA HALLERMANN",2014
"Calotes","versicolor","DAUDIN",1802
"Calotes","zolaiking","GIRI CHAITANYA MAHONY LALROUNGA LALRINCHHANA DAS SARKAR KARANTH & DEEPAK",2019
"Calumma","amber","RAXWORTHY & NUSSBAUM",2006
"Calumma","ambreense","RAMANANTSOA",1974
"Calumma","andringitraense","BRYGOO BLANC & DOMERGUE",1972
"Calumma","boettgeri","BOULENGER",1888
"Calumma","brevicorne","GUNTHER",1879
"Calumma","capuroni","BRYGOO BLANC & DOMERGUE",1972
"Calumma","crypticum","RAXWORTHY & NUSSBAUM",2006
"Calumma","cucullatum","GRAY",1831
"Calumma","fallax","MOCQUARD",1900
"Calumma","furcifer","VAILLANT & GRANDIDIER",1880
"Calumma","gallus","GUNTHER",1877
"Calumma","gastrotaenia","BOULENGER",1888
"Calumma","gehringi","PROTZEL VENCES SCHERZ VIEITES & GLAW",2017
"Calumma","glawi","BOHME",1997
"Calumma","globifer","GUNTHER",1879
"Calumma","guibei","HILLENIUS",1959
"Calumma","guillaumeti","BRYGOO BLANC & DOMERGUE",1974
"Calumma","hafahafa","RAXWORTHY & NUSSBAUM",2006
"Calumma","hilleniusi","BRYGOO BLANC & DOMERGUE",1973
"Calumma","jejy","RAXWORTHY & NUSSBAUM",2006
"Calumma","juliae","PROTZEL VENCES HAWLITSCHEK SCHERZ RATSOAVINA & GLAW",2018
"Calumma","lefona","PROTZEL VENCES HAWLITSCHEK SCHERZ RATSOAVINA & GLAW",2018
"Calumma","linotum","MULLER",1924
"Calumma","malthe","GUNTHER",1879
"Calumma","marojezense","BRYGOO BLANC & DOMERGUE",1970
"Calumma","nasutum","DUMERIL & BIBRON",1836
"Calumma","oshaughnessyi","GUNTHER",1881
"Calumma","parsonii","CUVIER",1825
"Calumma","peltierorum","RAXWORTHY & NUSSBAUM",2006
"Calumma","peyrierasi","BRYGOO BLANC & DOMERGUE",1974
"Calumma","roaloko","PROTZEL LAMBERT ANDRIANASOLO HUTTER COBB SCHERZ & GLAW",2018
"Calumma","tarzan","GEHRING PABIJAN RATSOAVINA KOHLER VENCES & GLAW",2010
"Calumma","tsaratananense","BRYGOO & DOMERGUE",1967
"Calumma","tsycorne","RAXWORTHY & NUSSBAUM",2006
"Calumma","uetzi","PROTZEL VENCES HAWLITSCHEK SCHERZ RATSOAVINA & GLAW",2018
"Calumma","vatosoa","ANDREONE MATTIOLI JESU & RANDRIANIRINA",2001
"Calumma","vencesi","ANDREONE MATTIOLI JESU & RANDRIANIRINA",2001
"Calumma","vohibola","GEHRING RATSOAVINA VENCES & GLAW",2011
"Calyptommatus","confusionibus","RODRIGUES ZAHER & CURCIO",2001
"Calyptommatus","leiolepis","RODRIGUES",1991
"Calyptommatus","nicterus","RODRIGUES",1991
"Calyptommatus","sinebrachiatus","RODRIGUES",1991
"Calyptotis","lepidorostrum","GREER",1983
"Calyptotis","ruficauda","GREER",1983
"Calyptotis","scutirostrum","PETERS",1874
"Calyptotis","temporalis","GREER",1983
"Calyptotis","thorntonensis","GREER",1983
"Candoia","aspera","GUNTHER",1877
"Candoia","bibroni","DUMERIL & BIBRON",1844
"Candoia","carinata","SCHNEIDER",1801
"Candoia","paulsoni","STULL",1956
"Candoia","superciliosa","GUNTHER",1863
"Cantoria","violacea","GIRARD",1858
"Caparaonia","itaiquara","RODRIGUES CASSIMIRO PAVAN CURCIO KRUTH VERDADE & MACHADO PELLEGRINO",2009
"Capitellum","mariagalantae","HEDGES & CONN",2012
"Capitellum","metallicum","BOCOURT",1879
"Capitellum","parvicruzae","HEDGES & CONN",2012
"Caraiba","andreae","REINHARDT & LUTKEN",1862
"Carinascincus","coventryi","RAWLINSON",1975
"Carinascincus","greeni","RAWLINSON",1975
"Carinascincus","metallicus","O'SHAUGHNESSY",1874
"Carinascincus","microlepidotus","O'SHAUGHNESSY",1874
"Carinascincus","ocellatus","GRAY",1845
"Carinascincus","orocryptus","HUTCHINSON SCHWANER & MEDLOCK",1988
"Carinascincus","palfreymani","RAWLINSON",1974
"Carinascincus","pretiosus","O'SHAUGHNESSY",1874
"Carlia","aenigma","ZUG",2004
"Carlia","ailanpalai","ZUG",2004
"Carlia","amax","STORR",1974
"Carlia","aramia","ZUG",2004
"Carlia","babarensis","KOPSTEIN",1926
"Carlia","beccarii","PETERS & DORIA",1878
"Carlia","bicarinata","MACLEAY",1877
"Carlia","bomberai","ZUG & ALLISON",2006
"Carlia","caesius","ZUG & ALLISON",2006
"Carlia","crypta","SINGHAL HOSKIN COUPER POTTER & MORITZ",2018
"Carlia","decora","HOSKIN & COUPER",2012
"Carlia","diguliensis","KOPSTEIN",1926
"Carlia","dogare","COVACEVICH & INGRAM",1975
"Carlia","eothen","ZUG",2004
"Carlia","fusca","DUMERIL & BIBRON",1839
"Carlia","gracilis","STORR",1974
"Carlia","inconnexa","INGRAM & COVACEVICH",1989
"Carlia","insularis","AFONSO-SILVA SANTOS OGILVIE & MORITZ",2017
"Carlia","isostriacantha","AFONSO-SILVA SANTOS OGILVIE & MORITZ",2017
"Carlia","jarnoldae","COVACEVICH & INGRAM",1975
"Carlia","johnstonei","STORR",1974
"Carlia","leucotaenia","BLEEKER",1860
"Carlia","longipes","MACLEAY",1877
"Carlia","luctuosa","PETERS & DORIA",1878
"Carlia","munda","DE VIS",1885
"Carlia","mysi","ZUG",2004
"Carlia","nigrauris","ZUG",2010
"Carlia","pectoralis","DE VIS",1885
"Carlia","peronii","DUMERIL & BIBRON",1839
"Carlia","pulla","BARBOUR",1911
"Carlia","quinquecarinata","MACLEAY",1877
"Carlia","rhomboidalis","PETERS",1869
"Carlia","rostralis","DE VIS",1885
"Carlia","rubigo","HOSKIN & COUPER",2012
"Carlia","rubrigularis","INGRAM & COVACEVICH",1989
"Carlia","rufilatus","STORR",1974
"Carlia","schmeltzii","PETERS",1867
"Carlia","sexdentata","MACLEAY",1877
"Carlia","spinauris","SMITH",1927
"Carlia","storri","INGRAM & COVACEVICH",1989
"Carlia","sukur","ZUG & KAISER",2014
"Carlia","tetradactyla","O'SHAUGHNESSY",1879
"Carlia","triacantha","MITCHELL",1953
"Carlia","tutela","ZUG",2004
"Carlia","vivax","DE VIS",1884
"Carlia","wundalthini","HOSKIN",2014
"Carphodactylus","laevis","GUNTHER",1897
"Carphophis","amoenus","SAY",1825
"Carphophis","vermis","KENNICOTT",1859
"Casarea","dussumieri","SCHLEGEL",1837
"Cathetorhinus","melanocephalus","DUMERIL & BIBRON",1844
"Causus","bilineatus","BOULENGER",1905
"Causus","defilippii","JAN",1863
"Causus","lichtensteinii","JAN",1859
"Causus","maculatus","HALLOWELL",1842
"Causus","rasmusseni","BROADLEY",2014
"Causus","resimus","PETERS",1862
"Causus","rhombeatus","LICHTENSTEIN",1823
"Celatiscincus","euryotis","WERNER",1910
"Celatiscincus","similis","SADLIER SMITH & BAUER",2006
"Celestus","adercus","SAVAGE LIPS & IBANEZ",2008
"Celestus","agasepsoides","THOMAS",1971
"Celestus","anelpistus","SCHWARTZ GRAHAM & DUVAL",1979
"Celestus","badius","COPE",1868
"Celestus","barbouri","GRANT",1940
"Celestus","costatus","COPE",1862
"Celestus","crusculus","GARMAN",1887
"Celestus","curtissi","GRANT",1951
"Celestus","cyanochloris","COPE",1894
"Celestus","darlingtoni","COCHRAN",1939
"Celestus","duquesneyi","GRANT",1940
"Celestus","enneagrammus","COPE",1861
"Celestus","fowleri","SCHWARTZ",1971
"Celestus","haetianus","COCHRAN",1927
"Celestus","hewardi","GRAY",1845
"Celestus","hylaius","SAVAGE & LIPS",1993
"Celestus","ingridae","WERLER & CAMPBELL",2004
"Celestus","laf","LOTZKAT HERTZ & KOHLER",2016
"Celestus","legnotus","CAMPBELL & CAMARILLO",1994
"Celestus","macrotus","THOMAS & HEDGES",1989
"Celestus","marcanoi","SCHWARTZ & INCHAUSTEGUI",1976
"Celestus","microblepharis","UNDERWOOD",1959
"Celestus","occiduus","SHAW",1802
"Celestus","orobius","SAVAGE & LIPS",1993
"Celestus","rozellae","SMITH",1942
"Celestus","sepsoides","GRAY",1852
"Celestus","stenurus","COPE",1862
"Celestus","warreni","SCHWARTZ",1970
"Cemophora","coccinea","BLUMENBACH",1788
"Cemophora","lineri","WILLIAMS BROWN & WILSON",1966
"Cenaspis","aenigma","CAMPBELL SMITH & HALL",2018
"Cerastes","boehmei","WAGNER & WILMS",2010
"Cerastes","cerastes","LINNAEUS",1758
"Cerastes","gasperettii","LEVITON & ANDERSON",1967
"Cerastes","vipera","LINNAEUS",1758
"Ceratophora","aspera","GUNTHER",1864
"Ceratophora","erdeleni","PETHIYAGODA & MANAMENDRA-ARACHCHI",1998
"Ceratophora","karu","PETHIYAGODA & MANAMENDRA-ARACHCHI",1998
"Ceratophora","stoddartii","GRAY",1834
"Ceratophora","tennentii","GUNTHER",1861
"Cerberus","australis","GRAY",1842
"Cerberus","dunsoni","MURPHY VORIS & KARNS",2012
"Cerberus","microlepis","BOULENGER",1896
"Cerberus","rynchops","SCHNEIDER",1799
"Cerberus","schneiderii","SCHLEGEL",1837
"Cercophis","auratus","SCHLEGEL",1837
"Cercosaura","anordosquama","STURARO RODRIGUES COLLI KNOWLES & AVILA-PIRES",2018
"Cercosaura","argulus","PETERS",1862
"Cercosaura","bassleri","RUIBAL",1952
"Cercosaura","doanae","ECHEVARRIA BARBOZA & VENEGAS",2015
"Cercosaura","eigenmanni","GRIFFIN",1917
"Cercosaura","hypnoides","DOAN & LAMAR",2012
"Cercosaura","manicata","O'SHAUGHNESSY",1881
"Cercosaura","nigroventris","GORZULA & SENARIS",1999
"Cercosaura","ocellata","WAGLER",1830
"Cercosaura","olivacea","GRAY",1845
"Cercosaura","oshaughnessyi","BOULENGER",1885
"Cercosaura","parkeri","RUIBAL",1952
"Cercosaura","phelpsorum","LANCINI",1968
"Cercosaura","quadrilineata","BOETTGER",1876
"Cercosaura","schreibersii","WIEGMANN",1834
"Cercosaura","steyeri","TEDESCO",1998
"Cerrophidion","godmani","GUNTHER",1863
"Cerrophidion","petlalcalensis","LOPEZ-LUNA VOGT & TORRE-LORANCA",1999
"Cerrophidion","sasai","JADIN TOWNSEND CASTOE & CAMPBELL",2012
"Cerrophidion","tzotzilorum","CAMPBELL",1985
"Cerrophidion","wilsoni","JADIN TOWNSEND CASTOE & CAMPBELL",2012
"Chalarodon","madagascariensis","PETERS",1854
"Chalarodon","steinkampi","MIRALLES GLAW RATSOAVINA & VENCES",2015
"Chalcides","armitagei","BOULENGER",1922
"Chalcides","bedriagai","BOSCA",1880
"Chalcides","bottegi","BOULENGER",1898
"Chalcides","boulengeri","ANDERSON",1892
"Chalcides","chalcides","LINNAEUS",1758
"Chalcides","coeruleopunctatus","SALVADOR",1975
"Chalcides","colosii","LANZA",1957
"Chalcides","delislei","LATASTE & ROCHEBRUNE",1876
"Chalcides","ebneri","WERNER",1931
"Chalcides","guentheri","BOULENGER",1887
"Chalcides","lanzai","PASTEUR",1967
"Chalcides","levitoni","PASTEUR",1978
"Chalcides","manueli","HEDIGER",1935
"Chalcides","mauritanicus","DUMERIL & BIBRON",1839
"Chalcides","mertensi","KLAUSEWITZ",1954
"Chalcides","minutus","CAPUTO",1993
"Chalcides","mionecton","BOTTGER",1874
"Chalcides","montanus","WERNER",1931
"Chalcides","ocellatus","FORSKAL",1775
"Chalcides","parallelus","DOUMERGUE",1901
"Chalcides","pentadactylus","BEDDOME",1870
"Chalcides","polylepis","BOULENGER",1890
"Chalcides","pseudostriatus","CAPUTO",1993
"Chalcides","pulchellus","MOCQUARD",1906
"Chalcides","ragazzii","BOULENGER",1890
"Chalcides","sepsoides","AUDOUIN",1829
"Chalcides","sexlineatus","STEINDACHNER",1891
"Chalcides","simonyi","STEINDACHNER",1891
"Chalcides","sphenopsiformis","DUMERIL",1856
"Chalcides","striatus","CUVIER",1829
"Chalcides","thierryi","TORNIER",1901
"Chalcides","viridanus","GRAVENHORST",1851
"Chalcidoseps","thwaitesi","GUNTHER",1872
"Chamaeleo","africanus","LAURENTI",1768
"Chamaeleo","anchietae","BOCAGE",1872
"Chamaeleo","arabicus","MATSCHIE",1893
"Chamaeleo","calcaricarens","BOHME",1985
"Chamaeleo","calyptratus","DUMERIL & DUMERIL",1851
"Chamaeleo","chamaeleon","LINNAEUS",1758
"Chamaeleo","dilepis","LEACH",1819
"Chamaeleo","gracilis","HALLOWELL",1844
"Chamaeleo","laevigatus","GRAY",1863
"Chamaeleo","monachus","GRAY",1865
"Chamaeleo","namaquensis","SMITH",1831
"Chamaeleo","necasi","ULLENBRUCH KRAUSE & BOHME",2007
"Chamaeleo","senegalensis","DAUDIN",1802
"Chamaeleo","zeylanicus","LAURENTI",1768
"Chamaelycus","christyi","BOULENGER",1919
"Chamaelycus","fasciatus","GUNTHER",1858
"Chamaelycus","parkeri","ANGEL",1934
"Chamaesaura","aenea","FITZINGER",1843
"Chamaesaura","anguina","LINNAEUS",1758
"Chamaesaura","macrolepis","COPE",1862
"Chamaesaura","miopropus","BOULENGER",1895
"Chamaesaura","tenuior","GUNTHER",1895
"Chapinophis","xanthocheilus","CAMPBELL & SMITH",1998
"Charina","bottae","BLAINVILLE",1835
"Charina","umbratica","KLAUBER",1943
"Chatogekko","amazonicus","ANDERSSON",1918
"Chelosania","brunnea","GRAY",1845
"Chersodromus","australis","CANSECO-MARQUEZ RAMIREZ-GONZALEZ & CAMPBELL",2018
"Chersodromus","liebmanni","REINHARDT",1861
"Chersodromus","nigrum","CANSECO-MARQUEZ RAMIREZ-GONZALEZ & CAMPBELL",2018
"Chersodromus","rubriventris","TAYLOR",1949
"Chilabothrus","angulifer","COCTEAU & BIBRON",1840
"Chilabothrus","argentum","REYNOLDS PUENTE-ROLON GENEVA AVILES-RODRIGUEZ & HERRMANN",2016
"Chilabothrus","chrysogaster","COPE",1871
"Chilabothrus","exsul","NETTING & GOIN",1944
"Chilabothrus","fordii","GUNTHER",1861
"Chilabothrus","gracilis","FISCHER",1888
"Chilabothrus","granti","STULL",1933
"Chilabothrus","inornatus","REINHARDT",1843
"Chilabothrus","monensis","ZENNECK",1898
"Chilabothrus","schwartzi","BUDEN",1975
"Chilabothrus","striatus","FISCHER",1856
"Chilabothrus","strigilatus","COPE",1862
"Chilabothrus","subflavus","STEJNEGER",1901
"Chilorhinophis","butleri","WERNER",1907
"Chilorhinophis","gerardi","BOULENGER",1913
"Chioninia","coctei","DUMERIL & BIBRON",1839
"Chioninia","delalandii","DUMERIL & BIBRON",1839
"Chioninia","fogoensis","O'SHAUGHNESSY",1874
"Chioninia","nicolauensis","SCHLEICH",1987
"Chioninia","spinalis","BOULENGER",1906
"Chioninia","stangeri","GRAY",1845
"Chioninia","vaillantii","BOULENGER",1887
"Chirindia","ewerbecki","WERNER",1910
"Chirindia","langi","FITZSIMONS",1939
"Chirindia","mpwapwaensis","LOVERIDGE",1932
"Chirindia","rondoensis","LOVERIDGE",1941
"Chirindia","swynnertoni","BOULENGER",1907
"Chironius","bicarinatus","WIED-NEUWIED",1820
"Chironius","brazili","HAMDAN & FERNANDES",2015
"Chironius","carinatus","LINNAEUS",1758
"Chironius","challenger","KOK",2010
"Chironius","diamantina","FERNANDES & HAMDAN",2014
"Chironius","exoletus","LINNAEUS",1758
"Chironius","flavolineatus","JAN",1863
"Chironius","flavopictus","WERNER",1909
"Chironius","foveatus","BAILEY",1955
"Chironius","fuscus","LINNAEUS",1758
"Chironius","grandisquamis","PETERS",1869
"Chironius","laevicollis","WIED-NEUWIED",1824
"Chironius","laurenti","DIXON WIEST & CEI",1993
"Chironius","leucometapus","DIXON WIEST & CEI",1993
"Chironius","maculoventris","DIXON WIEST & CEI",1993
"Chironius","monticola","ROZE",1952
"Chironius","multiventris","SCHMIDT & WALKER",1943
"Chironius","quadricarinatus","BOIE",1827
"Chironius","scurrulus","WAGLER",1824
"Chironius","septentrionalis","DIXON WIEST & CEI",1993
"Chironius","spixii","HALLOWELL",1845
"Chironius","vincenti","BOULENGER",1891
"Chlamydosaurus","kingii","GRAY",1825
"Chondrodactylus","angulifer","PETERS",1870
"Chondrodactylus","bibronii","SMITH",1846
"Chondrodactylus","fitzsimonsi","LOVERIDGE",1947
"Chondrodactylus","laevigatus","FISCHER",1888
"Chondrodactylus","pulitzerae","SCHMIDT",1933
"Chondrodactylus","turneri","GRAY",1864
"Christinus","alexanderi","STORR",1987
"Christinus","guentheri","BOULENGER",1885
"Christinus","marmoratus","GRAY",1845
"Chrysopelea","ornata","SHAW",1802
"Chrysopelea","paradisi","BOIE",1827
"Chrysopelea","pelias","LINNAEUS",1758
"Chrysopelea","rhodopleuron","BOIE",1827
"Chrysopelea","taprobanica","SMITH",1943
"Clelia","clelia","DAUDIN",1803
"Clelia","equatoriana","AMARAL",1924
"Clelia","errabunda","UNDERWOOD",1993
"Clelia","hussami","MORATO FRANCO & SANCHES",2003
"Clelia","langeri","REICHLE & EMBERT",2005
"Clelia","plumbea","WIED-NEUWIED",1820
"Clelia","scytalina","COPE",1867
"Clonophis","kirtlandii","KENNICOTT",1856
"Cnemaspis","aaronbaueri","SAYYED GRISMER CAMPBELL & DILEEPKUMAR",2019
"Cnemaspis","aceh","ISKANDAR MCGUIRE & AMARASINGHE",2017
"Cnemaspis","adangrawi","AMPAI RUJIRAWAN WOOD STUART & AOWPHOL",2019
"Cnemaspis","adii","SRINIVASULU KUMAR & SRINIVASULU",2015
"Cnemaspis","affinis","STOLICZKA",1870
"Cnemaspis","africana","WERNER",1896
"Cnemaspis","agarwali","KHANDEKAR",2019
"Cnemaspis","ajijae","SAYYED PYRON & DILEEPKUMAR",2018
"Cnemaspis","alantika","BAUER CHIRIO INEICH & LEBRETON",2006
"Cnemaspis","alwisi","MENDIS WICKRAMASINGHE & MUNINDRADASA",2007
"Cnemaspis","amba","KHANDEKAR THACKERAY & AGARWAL",2019
"Cnemaspis","amboliensis","SAYYED PYRON & DILEEPKUMAR",2018
"Cnemaspis","amith","MANAMENDRA-ARACHCHI BATUWITA & PETHIYAGODA",2007
"Cnemaspis","anaikattiensis","MUKHERJEE BHUPATHY & NIXON",2005
"Cnemaspis","anamudiensis","CYRIAC JOHNY UMESH & PALOT",2018
"Cnemaspis","anandani","MURTHY NITESH SENGUPTA & DEEPAK",2019
"Cnemaspis","andalas","ISKANDAR MCGUIRE & AMARASINGHE",2017
"Cnemaspis","andersonii","ANNANDALE",1905
"Cnemaspis","anslemi","KARUNARATHNA & UKUWELA",2019
"Cnemaspis","argus","DRING",1979
"Cnemaspis","assamensis","DAS & SENGUPTA",2000
"Cnemaspis","aurantiacopes","GRISMER & NGO",2007
"Cnemaspis","australis","MANAMENDRA-ARACHCHI BATUWITA & PETHIYAGODA",2007
"Cnemaspis","barbouri","PERRET",1986
"Cnemaspis","baueri","DAS & GRISMER",2003
"Cnemaspis","bayuensis","GRISMER GRISMER WOOD & CHAN",2008
"Cnemaspis","beddomei","THEOBALD",1876
"Cnemaspis","bidongensis","GRISMER WOOD AHMAD SUMARLI VAZQUEZ ISMAIL NANCE MOHD-AMIN OTHMAN RIZAIJESSIKA KUSS MURDOCH & COBOS",2014
"Cnemaspis","biocellata","GRISMER CHAN NASIR & SUMONTHA",2008
"Cnemaspis","boiei","GRAY",1842
"Cnemaspis","boulengeri","STRAUCH",1887
"Cnemaspis","butewai","KARUNARATHNA POYARKOV DE SILVA MADAWALA BOTEJUE GORIN SURASINGHE GABADAGE UKUWELA & BAUER",2019
"Cnemaspis","caudanivea","GRISMER & NGO",2007
"Cnemaspis","chanardi","GRISMER SUMONTHA COTA GRISMER WOOD PAUWELS & KUNYA",2010
